date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-04-26,01_gap,long,20161.28,-16.7599999999984,time_1330,52,264.14857142857363
2024-04-29,01_gap,long,20366.2,97.45999999999913,time_1330,52,208.7457142857129
2024-05-03,01_gap,long,20497.96,-52.0,stop,10,254.778571428571
2024-05-06,01_gap,long,20551.89,-2.75,time_1330,52,235.78857142857305
2024-05-07,01_gap,long,20646.44,-52.0,stop,2,154.80285714285856
2024-05-13,01_gap,long,20895.86,-52.0,stop,1,214.40285714285346
2024-05-15,01_gap,long,21178.35,-35.29999999999927,time_1330,52,164.84714285714654
2024-05-16,01_gap,long,21453.48,-52.0,stop,12,273.99285714285725
2024-05-23,01_gap,long,21601.57,-52.0,stop,2,103.15142857142564
2024-05-24,01_gap,short,21460.08,-52.0,stop,1,-207.70714285714712
2024-05-27,01_gap,long,21770.26,31.140000000003056,time_1330,52,198.4314285714281
2024-05-30,01_gap,short,21449.8,-52.0,stop,1,-244.78571428571377
2024-05-31,01_gap,long,21538.72,-52.0,stop,1,98.70285714285637
2024-06-03,01_gap,long,21470.83,-52.0,stop,1,331.1814285714281
2024-06-06,01_gap,long,21904.6,-52.0,stop,1,444.00285714285565
2024-06-11,01_gap,long,21918.62,-52.0,stop,28,107.71999999999753
2024-06-12,01_gap,long,21885.11,148.0,tp,34,93.44571428571362
2024-06-13,01_gap,long,22329.64,-52.0,stop,14,278.59142857142797
2024-06-18,01_gap,long,22782.29,-52.0,stop,3,233.0600000000013
2024-06-19,01_gap,long,22962.24,148.0,tp,16,210.32857142857392
2024-06-21,01_gap,short,23242.53,-52.0,stop,11,-245.4599999999955
2024-06-24,01_gap,short,23093.2,148.0,tp,6,-138.64428571428653
2024-06-25,01_gap,short,22613.18,-52.0,stop,8,-114.20000000000073
2024-06-26,01_gap,long,23045.44,-52.0,stop,1,129.77999999999884
2024-06-27,01_gap,short,22808.52,-52.0,stop,11,-214.82428571428318
2024-07-03,01_gap,long,23067.04,-52.0,stop,3,204.85000000000218
2024-07-04,01_gap,long,23458.95,-52.0,stop,2,250.69857142856927
2024-07-10,01_gap,short,23781.42,-52.0,stop,1,-111.11000000000422
2024-07-11,01_gap,long,24225.54,-52.0,stop,2,260.3842857142845
2024-07-12,01_gap,short,23958.16,-52.0,stop,1,-548.3557142857135
2024-07-18,01_gap,short,23156.79,-52.0,stop,1,-488.0171428571448
2024-07-19,01_gap,short,23172.04,148.0,tp,10,-185.96571428571406
2024-07-23,01_gap,long,22641.38,148.0,tp,51,373.01714285714115
2024-07-26,01_gap,short,21964.3,-52.0,stop,1,-938.6314285714252
2024-07-29,01_gap,long,22424.35,-52.0,stop,1,324.2971428571436
2024-07-30,01_gap,short,21938.78,-52.0,stop,1,-158.65428571428492
2024-07-31,01_gap,short,22110.72,-52.0,stop,1,-163.55714285714566
2024-08-01,01_gap,long,22607.97,-52.0,stop,1,441.6857142857152
2024-08-02,01_gap,short,21970.62,-52.0,stop,1,-673.3585714285655
2024-08-05,01_gap,short,20292.13,148.0,tp,5,-1050.5557142857142
2024-08-06,01_gap,long,20586.39,-52.0,stop,1,774.0485714285714
2024-08-08,01_gap,short,20866.32,-52.0,stop,1,-414.67857142856883
2024-08-09,01_gap,long,21440.66,-52.0,stop,1,554.5571428571457
2024-08-14,01_gap,long,22058.48,-52.0,stop,13,258.0
