date,formula,direction,entry,pnl_pts,reason,held_bars
2024-03-06,03_resonance,short,19481.38,-52.0,stop,7
2024-03-07,03_resonance,long,19752.79,-32.970000000001164,time_1330,10
2024-03-11,03_resonance,short,19731.24,27.640000000003056,time_1330,42
2024-03-12,03_resonance,long,19916.01,-9.299999999999272,time_1330,1
2024-03-13,03_resonance,long,19968.04,-52.0,stop,11
2024-03-14,03_resonance,short,19841.85,-52.0,stop,5
2024-03-15,03_resonance,short,19861.5,89.68000000000029,time_1330,52
2024-03-18,03_resonance,short,19750.08,-52.0,stop,6
2024-03-19,03_resonance,long,19851.82,44.52000000000044,time_1330,40
2024-03-20,03_resonance,long,19976.83,-52.0,stop,4
2024-03-21,03_resonance,long,20122.72,72.0099999999984,time_1330,36
2024-03-25,03_resonance,short,20202.38,-52.0,stop,17
2024-03-26,03_resonance,short,20221.22,-52.0,stop,6
2024-03-27,03_resonance,short,20126.71,-52.0,stop,4
2024-03-28,03_resonance,short,20170.36,4.119999999998981,time_1330,22
2024-03-29,03_resonance,long,20248.24,47.289999999997235,time_1330,27
2024-04-01,03_resonance,short,20218.1,-1.4800000000032014,time_1330,1
2024-04-02,03_resonance,long,20457.01,-4.329999999998108,time_1330,5
2024-04-03,03_resonance,short,20379.03,-9.409999999999854,time_1330,13
2024-04-08,03_resonance,long,20483.29,-52.0,stop,19
2024-04-10,03_resonance,long,20862.34,-52.0,stop,19
2024-04-11,03_resonance,short,20684.58,-52.0,stop,28
2024-04-12,03_resonance,short,20737.1,-52.0,stop,4
2024-04-15,03_resonance,short,20540.08,43.87000000000262,time_1330,38
2024-04-18,03_resonance,long,20177.09,148.0,tp,6
2024-04-19,03_resonance,short,19426.62,-52.0,stop,5
2024-04-22,03_resonance,short,19566.75,-52.0,stop,1
2024-04-23,03_resonance,long,19605.75,22.169999999998254,time_1330,27
2024-04-24,03_resonance,long,20162.11,-12.110000000000582,time_1330,3
2024-04-29,03_resonance,long,20495.52,-2.0,time_eod,1
2024-04-30,03_resonance,long,20543.36,-52.0,stop,38
2024-05-02,03_resonance,short,20237.24,-33.95999999999913,time_1330,4
2024-05-03,03_resonance,short,20462.11,148.0,tp,33
2024-05-06,03_resonance,long,20560.74,-11.600000000002183,time_1330,3
2024-05-08,03_resonance,short,20602.84,-52.0,stop,11
2024-05-09,03_resonance,short,20715.07,111.68000000000029,time_1330,40
2024-05-10,03_resonance,short,20620.66,-52.0,stop,34
2024-05-13,03_resonance,long,20846.39,-8.659999999999854,time_1330,1
2024-05-14,03_resonance,long,20870.63,114.38999999999942,time_1330,43
2024-05-16,03_resonance,short,21300.41,11.579999999998108,time_1330,11
2024-05-17,03_resonance,short,21289.17,-9.110000000000582,time_1330,35
2024-05-20,03_resonance,short,21251.69,-52.0,stop,15
2024-05-21,03_resonance,short,21210.43,0.4900000000016007,time_1330,47
2024-05-22,03_resonance,long,21517.47,28.149999999997817,time_1330,25
2024-05-23,03_resonance,long,21645.92,-52.0,stop,1
2024-05-24,03_resonance,short,21572.91,-2.900000000001455,time_1330,8
2024-05-27,03_resonance,long,21799.97,1.430000000000291,time_1330,5
2024-05-28,03_resonance,long,21888.02,41.29000000000087,time_1330,25
2024-05-29,03_resonance,short,21751.85,39.469999999997526,time_1330,29
2024-05-30,03_resonance,short,21432.12,37.5099999999984,time_1330,13
2024-05-31,03_resonance,short,21466.91,148.0,tp,26
2024-06-04,03_resonance,short,21331.05,-28.42000000000189,time_1330,6
2024-06-05,03_resonance,short,21305.08,-52.0,stop,6
2024-06-11,03_resonance,short,21941.75,99.45999999999913,time_1330,36
2024-06-12,03_resonance,short,21907.44,-52.0,stop,7
2024-06-13,03_resonance,long,22323.14,-24.729999999999563,time_1330,9
2024-06-14,03_resonance,short,22292.79,-52.0,stop,6
2024-06-17,03_resonance,short,22453.76,-52.0,stop,5
2024-06-19,03_resonance,long,23134.98,66.95999999999913,time_1330,36
2024-06-21,03_resonance,short,23280.08,-10.479999999999563,time_1330,24
2024-06-24,03_resonance,short,22841.65,-1.1499999999978172,time_1330,14
2024-06-25,03_resonance,short,22693.43,-52.0,stop,1
2024-06-26,03_resonance,long,22949.48,40.31999999999971,time_1330,11
2024-06-27,03_resonance,long,22853.17,2.220000000001164,time_1330,42
2024-07-01,03_resonance,long,23078.98,-52.0,stop,48
2024-07-02,03_resonance,short,22903.98,-3.6700000000018917,time_1330,33
2024-07-03,03_resonance,long,23172.43,-2.0,time_eod,1
2024-07-04,03_resonance,long,23521.63,-11.479999999999563,time_1330,8
2024-07-05,03_resonance,long,23596.01,-52.0,stop,1
2024-07-09,03_resonance,long,24013.52,-52.0,stop,1
2024-07-10,03_resonance,short,23911.16,-52.0,stop,8
2024-07-11,03_resonance,long,24410.36,-52.0,stop,4
2024-07-12,03_resonance,short,23832.74,-52.0,stop,3
2024-07-15,03_resonance,short,23768.37,-52.0,stop,1
2024-07-16,03_resonance,long,23972.97,148.0,tp,2
2024-07-17,03_resonance,long,23917.25,-52.0,stop,7
2024-07-19,03_resonance,short,22950.45,71.13999999999942,time_1330,8
2024-07-23,03_resonance,long,22792.09,77.75,time_1330,1
2024-07-29,03_resonance,long,22244.25,-52.0,stop,13
2024-07-30,03_resonance,short,21837.26,-52.0,stop,8
2024-07-31,03_resonance,long,22255.7,-52.0,stop,24
2024-08-01,03_resonance,long,22642.1,-2.0,time_eod,1
2024-08-02,03_resonance,short,21661.34,18.229999999999563,time_1330,6
2024-08-05,03_resonance,short,19822.26,-52.0,stop,3
2024-08-06,03_resonance,short,19809.49,-52.0,stop,1
2024-08-08,03_resonance,long,20990.63,-52.0,stop,7
2024-08-13,03_resonance,short,21741.39,-52.0,stop,30
2024-08-15,03_resonance,short,22000.62,79.2599999999984,time_1330,50
2024-08-19,03_resonance,long,22382.27,-52.0,stop,7
2024-08-20,03_resonance,short,22465.67,78.02999999999884,time_1330,41
2024-08-21,03_resonance,short,22244.54,27.030000000002474,time_1330,29
2024-08-22,03_resonance,short,22194.14,-52.0,stop,3
2024-08-28,03_resonance,long,22189.49,148.0,tp,18
2024-08-29,03_resonance,short,22146.5,-52.0,stop,2
2024-08-30,03_resonance,long,22290.17,-52.0,stop,7
2024-09-02,03_resonance,short,22249.83,43.25,time_1330,24
2024-09-03,03_resonance,short,22243.03,123.86000000000058,time_1330,37
2024-09-04,03_resonance,short,21104.92,-13.260000000002037,time_1330,4
2024-09-06,03_resonance,long,21233.35,148.0,tp,8
2024-09-10,03_resonance,long,21209.43,-52.0,stop,3
