date,formula,direction,entry,exit,pnl_pts,reason,key_line,avg_amp
2023-06-20,02_多空穿越,short,17021.0,17009.0,10.0,time,17268.0,119.85
2023-06-26,02_多空穿越,short,16851.0,16891.0,-42.0,stop,17009.0,119.6
2023-06-30,02_多空穿越,long,16776.0,16736.0,-42.0,stop,16776.0,129.6
2023-07-10,02_多空穿越,long,16686.0,16646.0,-42.0,stop,16686.0,137.95
2023-07-18,02_多空穿越,long,17292.0,17252.0,-42.0,stop,17292.0,150.35
2023-07-27,02_多空穿越,long,17180.0,17225.0,43.0,target,17180.0,158.0
2023-08-02,02_多空穿越,short,17100.0,17140.0,-42.0,stop,17100.0,181.15
2023-08-07,02_多空穿越,long,16859.0,17002.0,141.0,time,16814.0,178.25
2023-08-10,02_多空穿越,short,16788.0,16757.0,29.0,target,16853.0,188.25
2023-08-17,02_多空穿越,long,16399.0,16359.0,-42.0,stop,16399.0,191.05
2023-08-22,02_多空穿越,long,16495.0,16455.0,-42.0,stop,16352.0,193.0
2023-09-04,02_多空穿越,short,16628.0,16668.0,-42.0,stop,16628.0,167.25
2023-09-11,02_多空穿越,long,16564.0,16524.0,-42.0,stop,16564.0,142.2
2023-09-12,02_多空穿越,long,16563.0,16523.0,-42.0,stop,16563.0,145.1
2023-09-14,02_多空穿越,long,16676.0,16814.95,136.95000000000073,target,16573.0,138.95
2023-09-18,02_多空穿越,short,16757.0,16709.0,46.0,time,16838.0,130.75
2023-09-26,02_多空穿越,short,16345.0,16385.0,-42.0,stop,16345.0,133.8
2023-09-28,02_多空穿越,short,16308.0,16348.0,-42.0,stop,16308.0,135.4
2023-10-20,02_多空穿越,short,16440.0,16300.85,137.14999999999964,target,16468.0,139.15
2023-10-31,02_多空穿越,short,16151.0,16191.0,-42.0,stop,16151.0,139.75
2023-11-09,02_多空穿越,short,16709.0,16749.0,-42.0,stop,16709.0,133.1
2023-11-10,02_多空穿越,short,16664.0,16704.0,-42.0,stop,16749.0,134.8
2023-11-17,02_多空穿越,short,17162.0,17202.0,-42.0,stop,17162.0,124.8
2023-11-21,02_多空穿越,long,17281.0,17404.2,121.20000000000073,target,17222.0,123.2
2023-11-24,02_多空穿越,short,17284.0,17324.0,-42.0,stop,17284.0,118.6
2023-11-27,02_多空穿越,long,17307.0,17267.0,-42.0,stop,17307.0,123.05
2023-11-30,02_多空穿越,long,17364.0,17324.0,-42.0,stop,17364.0,120.7
2023-12-04,02_多空穿越,short,17393.0,17433.0,-42.0,stop,17393.0,124.45
2023-12-05,02_多空穿越,short,17285.0,17325.0,-42.0,stop,17421.0,124.45
2023-12-14,02_多空穿越,long,17608.0,17666.0,56.0,time,17464.0,123.4
2023-12-29,02_多空穿越,short,17857.0,17897.0,-42.0,stop,17857.0,98.25
2024-01-02,02_多空穿越,short,17865.0,17905.0,-42.0,stop,17865.0,100.95
2024-01-05,02_多空穿越,long,17546.0,17506.0,-42.0,stop,17546.0,102.8
2024-01-08,02_多空穿越,long,17572.0,17676.35,102.34999999999854,target,17546.0,104.35
2024-01-29,02_多空穿越,short,17995.0,18035.0,-42.0,stop,17995.0,128.65
2024-02-15,02_多空穿越,long,18590.0,18550.0,-42.0,stop,18084.0,116.7
2024-02-20,02_多空穿越,short,18634.0,18674.0,-42.0,stop,18634.0,116.4
2024-03-04,02_多空穿越,long,19144.0,19272.3,126.29999999999927,target,18966.0,128.3
2024-03-06,02_多空穿越,short,19314.0,19354.0,-42.0,stop,19314.0,138.35
2024-03-14,02_多空穿越,long,19955.0,19915.0,-42.0,stop,19955.0,170.4
2024-03-15,02_多空穿越,short,19828.0,19868.0,-42.0,stop,19927.0,169.65
2024-03-20,02_多空穿越,long,19919.0,19879.0,-42.0,stop,19919.0,179.35
2024-03-25,02_多空穿越,long,20264.0,20224.0,-42.0,stop,20264.0,189.35
2024-03-26,02_多空穿越,long,20242.0,20202.0,-42.0,stop,20242.0,203.25
2024-04-02,02_多空穿越,long,20350.0,20523.0,171.0,time,20280.0,195.35
2024-04-11,02_多空穿越,short,20706.0,20746.0,-42.0,stop,20874.0,177.15
2024-04-15,02_多空穿越,short,20544.0,20584.0,-42.0,stop,20753.0,172.9
2024-04-23,02_多空穿越,long,19651.0,19611.0,-42.0,stop,19546.0,231.65
2024-05-22,02_多空穿越,long,21302.0,21485.0,181.0,target,21302.0,207.45
2024-05-24,02_多空穿越,short,21583.0,21565.0,16.0,time,21583.0,204.5
2024-05-27,02_多空穿越,long,21670.0,21877.55,205.54999999999927,target,21604.0,207.55
2024-05-29,02_多空穿越,short,21875.0,21722.0,151.0,time,21875.0,203.25
2024-06-11,02_多空穿越,short,21875.0,21915.0,-42.0,stop,21875.0,220.1
2024-06-21,02_多空穿越,short,23129.0,23169.0,-42.0,stop,23129.0,227.5
2024-06-26,02_多空穿越,long,22746.0,22992.4,244.40000000000146,target,22746.0,246.4
2024-07-02,02_多空穿越,short,22983.0,22793.0,188.0,target,22983.0,252.35
2024-07-03,02_多空穿越,long,22991.0,23166.0,173.0,target,22991.0,248.2
2024-07-17,02_多空穿越,short,23853.0,23893.0,-42.0,stop,23853.0,297.5
2024-07-31,02_多空穿越,long,22261.0,22221.0,-42.0,stop,22261.0,333.95
2024-08-20,02_多空穿越,long,22367.0,22447.0,78.0,target,22367.0,471.0
2024-08-21,02_多空穿越,short,22282.0,22203.0,77.0,time,22361.0,442.4
2024-08-26,02_多空穿越,long,22230.0,22190.0,-42.0,stop,22100.0,440.6
2024-08-28,02_多空穿越,long,22206.0,22166.0,-42.0,stop,22206.0,428.25
2024-09-12,02_多空穿越,long,21597.0,21557.0,-42.0,stop,21000.0,297.5
2024-09-18,02_多空穿越,short,21820.0,21860.0,-42.0,stop,21820.0,299.1
2024-11-11,02_多空穿越,short,23532.0,23572.0,-42.0,stop,23532.0,336.4
2024-11-18,02_多空穿越,short,22684.0,22724.0,-42.0,stop,22684.0,337.8
2024-11-19,02_多空穿越,long,22759.0,22719.0,-42.0,stop,22759.0,344.35
2024-11-26,02_多空穿越,short,22710.0,22750.0,-42.0,stop,23038.0,336.85
2024-11-29,02_多空穿越,long,22347.0,22307.0,-42.0,stop,22347.0,322.15
2024-12-02,02_多空穿越,long,22530.0,22827.0,295.0,time,22337.0,321.35
2024-12-10,02_多空穿越,short,23179.0,23219.0,-42.0,stop,23179.0,265.1
2024-12-17,02_多空穿越,long,23175.0,23135.0,-42.0,stop,22986.0,248.3
2024-12-25,02_多空穿越,long,23242.0,23329.0,85.0,time,23242.0,238.0
2024-12-27,02_多空穿越,long,23329.0,23289.0,-42.0,stop,23329.0,219.15
2025-01-16,02_多空穿越,long,23080.0,23040.0,-42.0,stop,22816.0,251.0
2025-01-22,02_多空穿越,long,23600.0,23698.0,96.0,time,23346.0,247.15
2025-02-10,02_多空穿越,short,23290.0,23330.0,-42.0,stop,23290.0,257.25
2025-02-13,02_多空穿越,long,23335.0,23295.0,-42.0,stop,23335.0,246.4
2025-03-20,02_多空穿越,long,22259.0,22219.0,-42.0,stop,22259.0,277.8
2025-03-24,02_多空穿越,long,22365.0,22325.0,-42.0,stop,22365.0,277.75
2025-03-25,02_多空穿越,long,22330.0,22290.0,-42.0,stop,22177.0,283.8
2025-03-27,02_多空穿越,short,22031.0,21968.0,61.0,time,22298.0,274.6
2025-04-16,02_多空穿越,short,19491.0,19531.0,-42.0,stop,19491.0,357.15
2025-04-18,02_多空穿越,short,19353.0,19393.0,-42.0,stop,19353.0,355.6
2025-05-02,02_多空穿越,long,20488.0,20677.0,187.0,time,20154.0,353.4
2025-05-19,02_多空穿越,short,21587.0,21441.0,144.0,time,21694.0,257.15
2025-05-21,02_多空穿越,long,21472.0,21620.0,146.0,target,21441.0,253.3
2025-05-29,02_多空穿越,long,21513.0,21473.0,-42.0,stop,21233.0,264.35
2025-06-09,02_多空穿越,long,21663.0,21727.0,62.0,time,21553.0,227.5
2025-06-30,02_多空穿越,short,22117.0,22157.0,-42.0,stop,22117.0,210.9
2025-07-01,02_多空穿越,long,22197.0,22221.0,22.0,target,22121.0,217.7
2025-07-28,02_多空穿越,long,23310.0,23270.0,-42.0,stop,23310.0,254.45
2025-08-01,02_多空穿越,short,23361.0,23401.0,-42.0,stop,23361.0,260.45
2025-08-13,02_多空穿越,long,24162.0,24223.0,59.0,target,24162.0,244.25
2025-08-15,02_多空穿越,long,24347.0,24307.0,-42.0,stop,24347.0,239.2
2025-08-27,02_多空穿越,long,24350.0,24463.0,111.0,time,24251.0,247.6
2025-10-29,02_多空穿越,long,28225.0,28291.0,64.0,target,28225.0,341.3
2025-10-31,02_多空穿越,long,28412.0,28446.0,32.0,target,28412.0,333.35
2025-11-03,02_多空穿越,short,28398.0,28438.0,-42.0,stop,28398.0,332.3
2025-12-01,02_多空穿越,short,27583.0,27623.0,-42.0,stop,27583.0,305.15
2025-12-18,02_多空穿越,short,27500.0,27540.0,-42.0,stop,27713.0,258.5
