date,formula,direction,entry,pnl_pts,reason,held_bars
2024-11-22,03_resonance,long,22991.1,-62.36000000000058,time_1330,31
2024-11-25,03_resonance,long,23003.5,-2.540000000000873,time_1330,13
2024-11-26,03_resonance,short,22740.02,-7.419999999998254,time_1330,8
2024-11-27,03_resonance,short,22491.82,276.9400000000023,time_1330,18
2024-11-28,03_resonance,short,22219.0,-105.09999999999854,time_1330,13
2024-11-29,03_resonance,long,22271.36,312.72000000000116,time_1330,47
2024-12-04,03_resonance,short,23137.32,-85.52000000000407,time_1330,20
2024-12-05,03_resonance,short,23240.67,-147.92000000000553,time_1330,45
2024-12-06,03_resonance,short,23233.58,47.78000000000611,time_1330,44
2024-12-09,03_resonance,short,23220.0,-92.13999999999942,time_1330,44
2024-12-10,03_resonance,short,23196.49,236.52000000000407,time_1330,46
2024-12-11,03_resonance,short,22977.17,149.3599999999933,time_1330,36
2024-12-12,03_resonance,long,23110.22,-9.279999999998836,time_1330,6
2024-12-13,03_resonance,long,23040.69,-57.05999999999767,time_1330,37
2024-12-16,03_resonance,short,22964.98,1.5400000000008731,time_1330,1
2024-12-17,03_resonance,long,23114.88,-83.42000000000553,time_1330,22
2024-12-18,03_resonance,short,23044.73,-244.0,stop,18
2024-12-19,03_resonance,short,22751.9,-244.0,stop,16
2024-12-20,03_resonance,short,22800.09,199.1800000000003,time_1330,52
2024-12-24,03_resonance,long,23293.71,-244.0,stop,24
2024-12-25,03_resonance,short,23220.18,-121.27999999999884,time_1330,37
2024-12-26,03_resonance,short,23267.55,26.68000000000029,time_1330,46
2024-12-27,03_resonance,short,23234.14,-92.02000000000407,time_1330,47
2024-12-30,03_resonance,short,23256.97,182.58000000000175,time_1330,48
2025-01-02,03_resonance,short,22805.02,48.55999999999767,time_1330,26
2025-01-03,03_resonance,long,23033.77,-244.0,stop,28
2025-01-07,03_resonance,long,23834.88,-244.0,stop,2
2025-01-08,03_resonance,short,23500.87,129.61999999999534,time_1330,28
2025-01-09,03_resonance,short,23375.67,452.93999999999505,time_1330,52
2025-01-10,03_resonance,short,23052.14,-132.05999999999767,time_1330,41
2025-01-13,03_resonance,short,22519.02,-81.83999999999651,time_1330,25
2025-01-14,03_resonance,long,22694.86,44.68000000000029,time_1330,27
2025-01-15,03_resonance,long,22700.81,-244.0,stop,20
2025-01-16,03_resonance,long,23136.71,-244.0,stop,22
2025-01-17,03_resonance,long,23086.08,-244.0,stop,3
2025-01-20,03_resonance,long,23305.12,12.360000000000582,time_1330,5
2025-01-21,03_resonance,short,23318.48,-114.0,time_1330,14
2025-01-22,03_resonance,long,23610.89,-88.91999999999825,time_1330,7
2025-02-04,03_resonance,long,22907.49,-244.0,stop,20
2025-02-05,03_resonance,long,23243.91,-244.0,stop,4
2025-02-06,03_resonance,long,23294.06,-147.92000000000553,time_1330,19
