date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-05-07,01_gap,long,20646.44,-244.0,stop,14,154.80285714285856
2024-05-13,01_gap,long,20895.86,-116.26000000000204,time_1330,52,214.40285714285346
2024-05-15,01_gap,long,21178.35,-70.59999999999854,time_1330,52,164.84714285714654
2024-05-16,01_gap,long,21453.48,-244.0,stop,27,273.99285714285725
2024-05-23,01_gap,long,21601.57,-244.0,stop,3,103.15142857142564
2024-05-24,01_gap,short,21460.08,-244.0,stop,10,-207.70714285714712
2024-05-27,01_gap,long,21770.26,62.28000000000611,time_1330,52,198.4314285714281
2024-05-30,01_gap,short,21449.8,110.37999999999738,time_1330,52,-244.78571428571377
2024-05-31,01_gap,long,21538.72,-244.0,stop,19,98.70285714285637
2024-06-03,01_gap,long,21470.83,198.3399999999965,time_1330,52,331.1814285714281
2024-06-06,01_gap,long,21904.6,16.360000000000582,time_1330,52,444.00285714285565
2024-06-11,01_gap,long,21918.62,-160.65999999999622,time_1330,52,107.71999999999753
2024-06-12,01_gap,long,21885.11,398.8199999999997,time_1330,52,93.44571428571362
2024-06-13,01_gap,long,22329.64,-62.45999999999913,time_1330,52,278.59142857142797
2024-06-18,01_gap,long,22782.29,-244.0,stop,8,233.0600000000013
2024-06-19,01_gap,long,22962.24,479.3999999999942,time_1330,52,210.32857142857392
2024-06-21,01_gap,short,23242.53,-96.06000000000495,time_1330,52,-245.4599999999955
2024-06-24,01_gap,short,23093.2,500.8000000000029,time_1330,52,-138.64428571428653
2024-06-25,01_gap,short,22613.18,-244.0,stop,9,-114.20000000000073
2024-06-26,01_gap,long,23045.44,-244.0,stop,28,129.77999999999884
2024-06-27,01_gap,short,22808.52,-101.73999999999796,time_1330,52,-214.82428571428318
2024-07-03,01_gap,long,23067.04,136.87999999999738,time_1330,52,204.85000000000218
2024-07-04,01_gap,long,23458.95,102.40000000000146,time_1330,52,250.69857142856927
2024-07-10,01_gap,short,23781.42,-244.0,stop,15,-111.11000000000422
2024-07-11,01_gap,long,24225.54,300.25999999999476,time_1330,52,260.3842857142845
2024-07-12,01_gap,short,23958.16,262.6399999999994,time_1330,52,-548.3557142857135
2024-07-18,01_gap,short,23156.79,-244.0,stop,1,-488.0171428571448
2024-07-19,01_gap,short,23172.04,585.4599999999991,time_1330,52,-185.96571428571406
2024-07-23,01_gap,long,22641.38,297.41999999999825,time_1330,52,373.01714285714115
2024-07-26,01_gap,short,21964.3,-244.0,stop,1,-938.6314285714252
2024-07-29,01_gap,long,22424.35,-244.0,stop,2,324.2971428571436
2024-07-30,01_gap,short,21938.78,-244.0,stop,2,-158.65428571428492
2024-07-31,01_gap,short,22110.72,-244.0,stop,16,-163.55714285714566
2024-08-01,01_gap,long,22607.97,-244.0,stop,10,441.6857142857152
2024-08-02,01_gap,short,21970.62,-244.0,stop,7,-673.3585714285655
2024-08-05,01_gap,short,20292.13,953.0600000000013,time_1330,52,-1050.5557142857142
2024-08-06,01_gap,long,20586.39,-244.0,stop,1,774.0485714285714
2024-08-08,01_gap,short,20866.32,-244.0,stop,12,-414.67857142856883
2024-08-09,01_gap,long,21440.66,19.660000000003492,time_1330,52,554.5571428571457
2024-08-14,01_gap,long,22058.48,-82.95999999999913,time_1330,52,258.0
2024-08-16,01_gap,long,22250.35,144.12000000000262,time_1330,52,393.6142857142877
2024-08-29,01_gap,short,22109.16,-244.0,stop,41,-315.45857142857494
2024-09-02,01_gap,long,22406.56,-244.0,stop,9,141.971428571429
2024-09-04,01_gap,short,21000.61,-244.0,stop,1,-985.0785714285703
2024-09-05,01_gap,long,21376.44,-244.0,stop,43,258.6528571428571
2024-09-09,01_gap,short,21029.66,-244.0,stop,45,-492.2142857142826
2024-09-10,01_gap,long,21314.5,-244.0,stop,5,160.51142857142986
2024-09-12,01_gap,long,21505.84,243.40000000000146,time_1330,52,521.8328571428538
2024-09-13,01_gap,long,21739.31,-24.9800000000032,time_1330,52,125.27857142856737
2024-09-20,01_gap,long,22334.72,-244.0,stop,17,272.17857142857247
2024-09-25,01_gap,long,22713.93,10.69999999999709,time_1330,52,248.82000000000335
2024-09-26,01_gap,long,22912.67,-244.0,stop,49,166.28285714285812
2024-09-27,01_gap,long,23056.0,-244.0,stop,21,164.1314285714252
2024-09-30,01_gap,short,22628.53,466.1800000000003,time_1330,52,-215.78714285714523
2024-10-01,01_gap,long,22429.46,-65.31999999999971,time_1330,52,176.92428571428536
2024-10-07,01_gap,long,22569.5,199.5199999999968,time_1330,52,236.6428571428587
2024-10-09,01_gap,long,22830.8,-244.0,stop,15,265.0585714285735
2024-10-11,01_gap,long,22805.62,195.6600000000035,time_1330,52,112.93428571428376
2024-10-15,01_gap,long,23168.25,320.1600000000035,time_1330,52,141.44285714285797
2024-10-16,01_gap,short,22925.2,-244.0,stop,8,-373.0642857142848
2024-10-17,01_gap,long,23068.52,139.90000000000146,time_1330,52,124.59428571428361
2024-10-18,01_gap,long,23615.71,-244.0,stop,37,587.8985714285736
2024-10-21,01_gap,long,23613.4,-244.0,stop,50,134.99142857142942
2024-10-22,01_gap,short,23341.86,-244.0,stop,13,-143.76142857142622
2024-10-23,01_gap,short,23435.34,175.72000000000116,time_1330,52,-151.11142857143204
2024-10-25,01_gap,long,23374.09,-61.26000000000204,time_1330,52,111.86857142857116
2024-10-28,01_gap,long,23533.21,-244.0,stop,3,194.47999999999956
2024-10-29,01_gap,short,23009.46,294.77999999999884,time_1330,52,-155.9171428571426
2024-11-01,01_gap,short,22393.06,-244.0,stop,6,-543.6314285714288
