date,formula,direction,entry,pnl_pts,reason,held_bars,key
2024-09-06,02_cross,long,21411.21,17.720000000001164,time_1330,40,21405.0
2024-09-10,02_cross,long,21005.0,163.0,time_1330,9,21005.0
2024-09-12,02_cross,long,21505.84,243.40000000000146,time_1330,52,21060.0
2024-09-13,02_cross,long,21650.32,153.0,time_1330,32,21645.0
2024-09-18,02_cross,short,21760.05,242.6999999999971,time_1330,52,21840.0
2024-09-19,02_cross,long,21809.08,358.27999999999884,time_1330,38,21765.0
2024-09-23,02_cross,long,22222.75,16.31999999999971,time_1330,52,22180.0
2024-09-24,02_cross,short,22219.72,-244.0,stop,42,22240.0
2024-09-27,02_cross,long,22850.0,-4.319999999999709,time_1330,16,22850.0
2024-10-04,02_cross,long,22397.85,-244.0,stop,45,22380.0
2024-10-08,02_cross,short,22569.54,-7.540000000000873,time_1330,52,22585.0
2024-10-14,02_cross,short,22815.61,-244.0,stop,12,22940.0
2024-10-17,02_cross,long,23068.52,139.90000000000146,time_1330,52,23040.0
2024-10-18,02_cross,long,23615.71,-244.0,stop,37,23055.0
2024-10-21,02_cross,short,23603.38,151.22000000000116,time_1330,48,23605.0
2024-10-23,02_cross,short,23401.53,108.09999999999854,time_1330,51,23420.0
2024-10-24,02_cross,short,23370.0,302.8199999999997,time_1330,50,23370.0
2024-10-25,02_cross,short,23355.0,15.080000000001746,time_1330,52,23355.0
2024-10-28,02_cross,long,23327.92,-244.0,stop,4,23320.0
2024-10-30,02_cross,short,22822.65,24.42000000000553,time_1330,9,22825.0
2024-11-05,02_cross,long,22913.29,170.0,time_1330,51,22905.0
2024-11-08,02_cross,long,23640.73,-244.0,stop,36,23420.0
2024-11-19,02_cross,long,22699.37,-244.0,stop,1,22570.0
2024-11-20,02_cross,long,22845.0,-244.0,stop,38,22845.0
2024-11-22,02_cross,long,22885.03,149.77999999999884,time_1330,52,22580.0
2024-11-29,02_cross,short,22063.35,-244.0,stop,1,22270.0
2024-12-02,02_cross,long,22614.21,366.22000000000116,time_1330,52,22265.0
2024-12-03,02_cross,long,23033.18,20.400000000001455,time_1330,52,22755.0
2024-12-04,02_cross,long,23143.11,65.94000000000233,time_1330,52,23035.0
2024-12-06,02_cross,long,23310.0,-244.0,stop,37,23310.0
2024-12-09,02_cross,long,23241.62,40.900000000001455,time_1330,47,23235.0
2024-12-10,02_cross,short,23225.0,293.5400000000009,time_1330,46,23225.0
2024-12-11,02_cross,short,22906.42,-244.0,stop,6,23100.0
2024-12-12,02_cross,long,23126.4,-41.63999999999942,time_1330,52,22920.0
2024-12-16,02_cross,long,23219.44,-244.0,stop,18,23050.0
2024-12-17,02_cross,long,23190.0,-244.0,stop,33,23190.0
2024-12-18,02_cross,short,23048.78,-244.0,stop,34,23090.0
2024-12-20,02_cross,short,22834.75,268.5,time_1330,46,22845.0
2024-12-25,02_cross,short,23240.2,-81.23999999999796,time_1330,50,23245.0
2024-12-26,02_cross,long,23267.35,-34.279999999998836,time_1330,52,23235.0
2024-12-27,02_cross,long,23270.0,12.30000000000291,time_1330,52,23270.0
2024-12-30,02_cross,short,23280.0,228.63999999999942,time_1330,51,23280.0
2025-01-02,02_cross,long,23015.0,-244.0,stop,5,23015.0
2025-01-03,02_cross,long,23033.57,-244.0,stop,12,22845.0
2025-01-15,02_cross,long,22715.0,-244.0,stop,6,22715.0
2025-01-17,02_cross,short,22955.76,-244.0,stop,10,22995.0
2025-01-21,02_cross,short,23239.18,-244.0,stop,28,23280.0
2025-02-07,02_cross,long,23342.03,168.8199999999997,time_1330,52,23270.0
2025-02-12,02_cross,long,23370.0,-63.19999999999709,time_1330,30,23370.0
2025-02-13,02_cross,short,23340.51,-29.44000000000233,time_1330,29,23385.0
