formula,setup,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
03,1min_only,40,250,331,-966.3500000000058,-2.9194864048338545,0.23564954682779457,0.9073191363660771,-3666.9099999999926,0.045317220543806644,0.743202416918429,-2818.3411727267867
03,1min_only,50,100,331,-1379.3499999999985,-4.167220543806642,0.338368580060423,0.8760089135869279,-2849.079999999998,0.27794561933534745,0.6344410876132931,-2828.688217282612
03,5min_only,60,200,331,-1777.340000000011,-5.369607250755321,0.3595166163141994,0.8489887923028745,-2088.720000000012,0.045317220543806644,0.5317220543806647,-2851.902241539442
03,30dir_5entry,50,200,271,-1656.6800000000148,-6.1132103321033755,0.3210332103321033,0.7811631897431951,-2377.7999999999956,0.025830258302583026,0.4833948339483395,-2889.3473620513737
03,5min_only,60,150,331,-1835.950000000008,-5.546676737160145,0.36555891238670696,0.8428297241398196,-2147.330000000009,0.1027190332326284,0.5287009063444109,-2941.0490551720486
03,30dir_5entry,50,150,271,-1801.7500000000146,-6.6485239852399065,0.3247232472324723,0.7611703481405271,-2320.6500000000124,0.055350553505535055,0.4833948339483395,-3009.8409303719154
03,30dir_5entry,60,200,271,-1735.3400000000038,-6.4034686346863605,0.34317343173431736,0.7850607471484322,-2479.94999999999,0.02952029520295203,0.4095940959409594,-3018.3028505703123
03,5min_only,80,120,331,-1910.5199999999968,-5.771963746223555,0.4169184290030212,0.8495327728445138,-2206.9699999999975,0.20241691842900303,0.4108761329305136,-3044.098445431093
03,30dir_5entry,50,120,271,-1818.7200000000194,-6.711143911439186,0.33210332103321033,0.7555510155804753,-2362.530000000017,0.0996309963099631,0.47601476014760147,-3048.874796883933
03,30dir_5entry,80,200,271,-1841.380000000012,-6.7947601476015205,0.3763837638376384,0.7905597304794963,-2337.9400000000023,0.033210332103321034,0.2988929889298893,-3052.2380539041137
03,5min_only,80,250,331,-1974.9600000000028,-5.966646525679766,0.40483383685800606,0.8468127882498759,-2347.8899999999994,0.015105740181268883,0.4169184290030212,-3179.542442350027
03,5dir_1entry,50,100,331,-1404.5700000000033,-4.243413897280977,0.3504531722054381,0.867857908937986,-3510.569999999996,0.24471299093655588,0.6012084592145015,-3186.2834182124043
03,30dir_5entry,60,150,271,-1938.770000000004,-7.154132841328428,0.34686346863468637,0.7590787989044796,-2437.670000000002,0.06273062730627306,0.4095940959409594,-3205.789240219109
03,1min_only,60,200,331,-1336.8499999999985,-4.038821752265856,0.31722054380664655,0.8994008524420418,-3769.0099999999875,0.1027190332326284,0.6283987915407855,-3241.4748295115837
03,1min_only,60,120,331,-1665.3099999999904,-5.0311480362537475,0.35347432024169184,0.8690636530966389,-3106.819999999989,0.24471299093655588,0.6012084592145015,-3244.907269380657
03,30dir_5entry,60,120,271,-1995.7400000000089,-7.3643542435424685,0.35424354243542433,0.748118213072297,-2519.5500000000065,0.1070110701107011,0.4022140221402214,-3305.891357385553
03,5min_only,60,250,331,-2077.0200000000114,-6.274984894259853,0.3595166163141994,0.8235265629473913,-2388.4000000000124,0.012084592145015106,0.5317220543806647,-3306.5146874105394
03,5dir_1entry,40,250,331,-1361.5700000000033,-4.113504531722064,0.24471299093655588,0.8676602089335212,-3877.260000000002,0.027190332326283987,0.7311178247734139,-3326.6679582133
03,1min_only,50,150,331,-1538.8499999999913,-4.649093655589097,0.2930513595166163,0.8691589818063099,-3531.1299999999865,0.15709969788519637,0.6706948640483383,-3330.5832036387224
03,30dir_5entry,50,250,271,-2039.4100000000144,-7.525498154981603,0.3173431734317343,0.7324448106171407,-2595.2000000000116,0.0036900369003690036,0.4870848708487085,-3390.521037876592
03,30dir_5entry,80,150,271,-2080.3700000000135,-7.6766420664207144,0.3800738007380074,0.7626665601898316,-2539.2700000000114,0.07011070110701106,0.2988929889298893,-3397.471687962053
03,5min_only,60,120,331,-2149.1100000000006,-6.492779456193356,0.36555891238670696,0.8160210182445758,-2465.5600000000013,0.18126888217522658,0.5287009063444109,-3418.685796351086
03,30dir_5entry,40,200,271,-1985.1000000000058,-7.3250922509225305,0.2693726937269373,0.7196427991373618,-2827.769999999997,0.025830258302583026,0.5904059040590406,-3455.056440172532
03,1min_only,80,250,331,-1543.9900000000016,-4.664622356495473,0.36253776435045315,0.9011872960854811,-3845.049999999992,0.0634441087613293,0.540785498489426,-3486.2775407829013
03,30dir_5entry,80,120,271,-2135.8200000000143,-7.881254612546178,0.3874538745387454,0.7539009298627659,-2619.630000000012,0.11808118081180811,0.2952029520295203,-3494.854814027467
03,30dir_5entry,50,100,271,-2148.420000000013,-7.927749077490822,0.33579335793357934,0.7092045565288938,-2628.3300000000127,0.13284132841328414,0.47232472324723246,-3520.7440886942404
03,5min_only,80,100,331,-2230.839999999993,-6.739697885196353,0.42900302114803623,0.8222455243455844,-2546.949999999997,0.26586102719033233,0.4078549848942598,-3539.8658951308744
03,30dir_5entry,60,100,271,-2195.4400000000023,-8.101254612546134,0.36162361623616235,0.7185087930742678,-2655.350000000002,0.14391143911439114,0.3948339483394834,-3579.41324138515
03,1min_only,40,200,331,-1585.5100000000057,-4.790060422960742,0.23564954682779457,0.8479366315514868,-4006.8599999999933,0.07250755287009064,0.743202416918429,-3619.352673689705
03,1min_only,60,100,331,-1918.949999999997,-5.797432024169176,0.3685800604229607,0.845991171749599,-3339.239999999998,0.3021148036253776,0.5891238670694864,-3619.371765650076
03,5dir_1entry,40,200,331,-1602.310000000005,-4.840815709969803,0.24471299093655588,0.8442611319111543,-4018.4399999999987,0.06646525679758308,0.7311178247734139,-3642.6777736177733
03,5min_only,50,150,331,-2313.150000000005,-6.988368580060438,0.32326283987915405,0.7897988633699422,-2584.4200000000055,0.09063444108761329,0.6163141993957704,-3647.4002273260194
03,30dir_5entry,80,100,271,-2277.2200000000084,-8.403025830258334,0.3985239852398524,0.7331716347956497,-2697.1300000000083,0.15867158671586715,0.2915129151291513,-3679.150673040883
