formula,tf,gap_mult,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
01,30min,0.3,30,200,192,4480.840000000007,23.33770833333337,0.3177083333333333,2.0850673802230286,-416.0,0.13541666666666666,0.6614583333333334,4489.853476044613
01,30min,0.2,50,400,230,4650.259999999995,20.218521739130413,0.3652173913043478,1.641615179352459,-772.0699999999997,0.017391304347826087,0.5869565217391305,4392.548035870486
01,30min,0.2,40,250,230,4579.270000000004,19.90986956521741,0.34347826086956523,1.7393420098777639,-687.2299999999996,0.05652173913043478,0.6304347826086957,4383.523401975557
01,30min,0.35,30,300,176,4342.490000000005,24.673238636363667,0.3125,2.148509116684036,-458.8399999999965,0.028409090909090908,0.6590909090909091,4342.771823336814
01,30min,0.2,50,480,230,4583.569999999992,19.92856521739127,0.3652173913043478,1.6324136903365725,-748.6100000000006,0.004347826086956522,0.5869565217391305,4335.747738067306
01,30min,0.2,40,200,230,4461.4200000000055,19.39747826086959,0.34782608695652173,1.720713764159296,-556.5400000000009,0.13478260869565217,0.6304347826086957,4327.292752831864
01,30min,0.3,30,150,192,4283.360000000004,22.309166666666687,0.34375,2.068734592852083,-388.0,0.24479166666666666,0.6458333333333334,4303.106918570421
01,30min,0.3,40,300,192,4359.830000000005,22.707447916666695,0.3333333333333333,1.8339846701519416,-654.359999999997,0.03125,0.6354166666666666,4199.446934030395
01,30min,0.35,30,250,176,4083.55000000001,23.201988636363694,0.3125,2.0800242265232853,-458.8399999999965,0.0625,0.6590909090909091,4070.134845304669
01,30min,0.3,50,400,192,4290.740000000005,22.347604166666695,0.3541666666666667,1.698717447662225,-788.3599999999933,0.020833333333333332,0.5989583333333334,4036.3034895324536
01,30min,0.2,30,120,230,3975.450000000008,17.28456521739134,0.3565217391304348,1.843707819384197,-256.0,0.29130434782608694,0.6347826086956522,4016.1915638768473
01,30min,0.3,50,480,192,4224.050000000003,22.00026041666668,0.3541666666666667,1.6878574406274023,-764.8999999999942,0.005208333333333333,0.5989583333333334,3979.171488125486
01,30min,0.35,30,150,176,3895.360000000004,22.132727272727298,0.3465909090909091,2.0655054323446085,-278.8399999999965,0.23863636363636365,0.6420454545454546,3969.0410864689275
01,30min,0.35,40,400,176,4050.390000000003,23.01357954545456,0.32954545454545453,1.8424780196808883,-504.0,0.017045454545454544,0.6363636363636364,3966.885603936181
01,30min,0.35,40,480,176,3993.7100000000028,22.691534090909105,0.32954545454545453,1.8306886230658679,-504.0,0.005681818181818182,0.6363636363636364,3907.8477246131765
01,30min,0.35,30,200,176,3911.80000000001,22.22613636363642,0.3181818181818182,2.035538907492955,-458.8399999999965,0.13068181818181818,0.6590909090909091,3889.487781498603
01,30min,0.2,40,150,230,4075.4600000000028,17.719391304347837,0.3652173913043478,1.6702386767117123,-672.5400000000009,0.24347826086956523,0.6217391304347826,3873.237735342345
01,30min,0.3,40,250,192,4050.8900000000103,21.09838541666672,0.3333333333333333,1.7748880484954237,-670.4999999999964,0.0625,0.6354166666666666,3870.617609699097
01,30min,0.2,50,300,230,4161.8499999999985,18.094999999999995,0.3652173913043478,1.5742272763647696,-872.0699999999997,0.030434782608695653,0.5869565217391305,3840.6604552729527
01,30min,0.3,40,200,192,3847.3400000000074,20.038229166666707,0.3385416666666667,1.7364344943226642,-582.0,0.140625,0.6354166666666666,3703.62689886454
01,30min,0.2,60,400,230,4092.139999999996,17.791913043478242,0.391304347826087,1.502722372100108,-1051.6000000000022,0.017391304347826087,0.5478260869565217,3666.8844744200164
01,30min,0.2,60,480,230,4025.4499999999935,17.501956521739103,0.391304347826087,1.4945294571472085,-1028.140000000003,0.004347826086956522,0.5478260869565217,3610.285891429434
01,30min,0.3,60,400,192,3932.6200000000063,20.482395833333367,0.3854166666666667,1.5755250179274425,-1017.8899999999958,0.020833333333333332,0.5520833333333334,3538.780003585497
01,30min,0.3,60,480,192,3865.930000000004,20.135052083333353,0.3854166666666667,1.5657651724693045,-994.4299999999967,0.005208333333333333,0.5520833333333334,3481.8680344938666
01,30min,0.2,50,250,230,3802.9100000000035,16.534391304347842,0.3652173913043478,1.524702872895551,-886.619999999999,0.05652173913043478,0.5869565217391305,3464.540574579114
01,30min,0.35,40,300,176,3578.9900000000052,20.335170454545484,0.32954545454545453,1.744427180507977,-570.359999999997,0.028409090909090908,0.6363636363636364,3442.6954361016024
