formula,tf,retrace,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
02,5min,30,80,200,164,557.2200000000121,3.397682926829342,0.4451219512195122,1.0919291056041436,-800.6399999999885,0.08536585365853659,0.40853658536585363,175.28582112084655
02,5min,50,80,250,190,743.0900000000074,3.911000000000039,0.41578947368421054,1.0994386345236433,-1181.8199999999924,0.04736842105263158,0.4368421052631579,172.06772690473986
02,5min,80,80,200,208,794.1899999999987,3.8182211538461477,0.4230769230769231,1.0978666719244068,-1354.559999999994,0.09615384615384616,0.4375,136.48333438488302
02,5min,20,40,250,155,428.2800000000025,2.7630967741935644,0.2967741935483871,1.0990703193854259,-673.2999999999956,0.03225806451612903,0.6451612903225806,111.44406387708983
02,5min,80,50,250,208,795.2000000000007,3.8230769230769264,0.3173076923076923,1.117024987012758,-1465.3899999999921,0.04807692307692308,0.6057692307692307,85.90999740255626
02,5min,80,80,250,208,767.7000000000044,3.690865384615406,0.4182692307692308,1.0936559871758278,-1415.1599999999926,0.04807692307692308,0.4423076923076923,78.85119743517363
02,5min,20,80,100,155,346.6000000000058,2.236129032258102,0.49032258064516127,1.0672450856375684,-630.5399999999936,0.2903225806451613,0.36129032258064514,44.77901712752269
02,5min,80,60,250,208,632.0800000000017,3.0388461538461624,0.3605769230769231,1.0854079062577697,-1211.53999999999,0.04807692307692308,0.5480769230769231,43.39158125156071
02,5min,80,50,200,208,644.5399999999972,3.0987499999999866,0.32211538461538464,1.0955846913821916,-1351.469999999994,0.08653846153846154,0.6009615384615384,-12.078061723561387
02,5min,80,60,200,208,491.41999999999825,2.3625961538461455,0.36538461538461536,1.0669626310855298,-1135.969999999994,0.08653846153846154,0.5432692307692307,-63.17247378289273
02,5min,50,50,250,190,411.869999999999,2.1677368421052576,0.3105263157894737,1.0650238232814555,-1208.1499999999942,0.04736842105263158,0.6157894736842106,-179.200235343707
02,5min,50,80,150,190,328.73000000000684,1.730157894736878,0.4263157894736842,1.044500668735144,-1097.2699999999932,0.18421052631578946,0.43157894736842106,-211.00486625296097
02,5min,20,50,150,155,227.38000000000466,1.4669677419355138,0.34838709677419355,1.0470123640573967,-899.8799999999937,0.14838709677419354,0.5741935483870968,-213.15752718851286
02,5min,50,40,150,190,323.3199999999997,1.7016842105263144,0.3,1.0605699555635486,-1098.6699999999983,0.1368421052631579,0.6578947368421053,-213.9010088872897
02,5min,20,40,100,155,92.77000000000044,0.5985161290322609,0.3419354838709677,1.0230256218059615,-640.8099999999977,0.22580645161290322,0.6,-223.02987563880612
02,5min,30,80,150,164,199.6700000000128,1.2175000000000782,0.45121951219512196,1.0329616814469023,-877.1899999999878,0.15853658536585366,0.40853658536585363,-232.33266371060063
02,5min,30,80,250,164,174.37000000001353,1.0632317073171558,0.43902439024390244,1.0283832594601392,-860.9799999999886,0.03048780487804878,0.4146341463414634,-250.44334810795294
02,5min,20,60,120,155,113.1800000000112,0.7301935483871691,0.4129032258064516,1.022615691109386,-737.689999999995,0.1935483870967742,0.49032258064516127,-251.14186177810913
02,5min,80,50,150,208,426.2000000000007,2.049038461538465,0.33653846153846156,1.0647019263321054,-1424.3099999999977,0.15384615384615385,0.5865384615384616,-273.01461473357705
02,5min,80,40,150,208,313.5799999999981,1.5075961538461446,0.2980769230769231,1.0536519348265352,-1240.8099999999977,0.12980769230769232,0.6586538461538461,-296.0946130346937
02,5min,80,60,150,208,260.93000000000393,1.2544711538461728,0.375,1.0361663377095722,-1197.5799999999945,0.15865384615384615,0.5336538461538461,-330.62673245807883
02,5min,50,60,250,190,226.85000000000218,1.1939473684210642,0.3526315789473684,1.0332445249484152,-1251.4699999999903,0.04736842105263158,0.5473684210526316,-392.2360950103099
02,5min,20,40,120,155,-0.11999999999534339,-0.0007741935483570542,0.3225806451612903,0.9999711190640662,-788.8099999999977,0.16129032258064516,0.6193548387096774,-394.53077618718095
02,5min,80,80,150,208,269.0900000000038,1.2937019230769413,0.42788461538461536,1.033174911388504,-1352.6499999999942,0.17307692307692307,0.4375,-400.6000177222925
02,5min,50,50,200,190,211.03999999999724,1.1107368421052486,0.3157894736842105,1.033593648024399,-1244.3999999999942,0.08421052631578947,0.6105263157894737,-404.44127039512006
02,5min,50,60,200,190,183.10000000000218,0.9636842105263272,0.35789473684210527,1.0270790691070861,-1215.4299999999894,0.08947368421052632,0.5421052631578948,-419.1991861785753
02,5min,30,40,200,164,-42.659999999999854,-0.2601219512195113,0.2865853658536585,0.9908572261347027,-788.9099999999962,0.06097560975609756,0.6646341463414634,-438.94355477305743
02,5min,20,60,100,155,-21.389999999992142,-0.1379999999999493,0.41935483870967744,0.9956722218962523,-849.689999999995,0.2645161290322581,0.4838709677419355,-447.1005556207392
02,5min,30,40,250,164,-44.68999999999869,-0.272499999999992,0.2804878048780488,0.9905076062345213,-802.6599999999962,0.03048780487804878,0.6707317073170732,-447.91847875309253
02,5min,50,50,150,190,94.18000000000029,0.49568421052631734,0.33157894736842103,1.015373465183623,-1149.1799999999967,0.15263157894736842,0.5947368421052631,-477.3353069632734
02,5min,20,50,200,155,-102.48999999999432,-0.6612258064515762,0.3225806451612903,0.9796832256274046,-986.5699999999961,0.06451612903225806,0.6,-599.8383548745114
02,5min,50,60,150,190,-21.719999999993888,-0.11431578947365205,0.3684210526315789,0.996727772354197,-1157.8499999999913,0.15789473684210525,0.531578947368421,-601.2994455291501
02,5min,80,40,120,208,-15.379999999993743,-0.07394230769227761,0.30288461538461536,0.9973495142786744,-1209.949999999997,0.1875,0.6538461538461539,-620.8850971442574
02,5min,20,50,250,155,-182.30999999999403,-1.1761935483870583,0.3161290322580645,0.9642290939057422,-950.3199999999961,0.03225806451612903,0.6064516129032258,-664.6241812188437
02,5min,50,40,100,190,-170.9599999999955,-0.8997894736841868,0.32105263157894737,0.9669320458959072,-991.6299999999937,0.24210526315789474,0.6368421052631579,-673.3885908208109
02,5min,50,40,120,190,-78.08999999999287,-0.41099999999996245,0.30526315789473685,0.985254797996965,-1233.319999999996,0.18421052631578946,0.6526315789473685,-697.6990404005979
02,5min,80,40,100,208,-187.7099999999955,-0.9024519230769014,0.3173076923076923,0.9669333117245736,-1029.949999999997,0.24519230769230768,0.6394230769230769,-709.2983376550793
02,5min,20,50,100,155,-281.1399999999958,-1.813806451612876,0.36774193548387096,0.9399350510618305,-891.8899999999958,0.23870967741935484,0.5548387096774193,-739.0979897876275
02,5min,80,50,120,208,-42.75999999999112,-0.2055769230768804,0.34134615384615385,0.9934569013929346,-1423.449999999997,0.21153846153846154,0.5817307692307693,-755.7936197214027
